form	lemma	POS	morph
ཀ་	ཀ་	DET
ན་	ནས་	PART
མཐའ་བྲལ་	མཐའ་བྲལ་	NOUN
གྲུབ་པ་	གྲུབ་པ་	VERB
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
འི་	གི་	PART
བསྟན་བཅོས་	བསྟན་བཅོས་	NOUN
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
བཤད་པ་	བཤད་པ་	VERB
ལེགས་བཤད་	ལེགས་བཤད་	NOUN
ཀྱི་	གི་	PART
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
སྟག་ཚང་	སྟག་ཚང་	OTHER
ལོ་ཙཱ་བ་	ལོ་ཙཱ་བ་	NOUN
ཤེས་རབ་	ཤེས་རབ་	NOUN
རིན་ཆེན་	རིན་ཆེན་	OTHER
།		PUNCT
བྲིས་མ་	བྲིས་མ་	NO_POS
དབུ་ཅན་	དབུ་ཅན་	NO_POS
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
		
གྲུབ་མཐའ་	གྲུབ་མཐའ་	NOUN
ཀུན་ཤེས་	ཀུན་ཤེས་	PROPN
ན་	ནས་	PART
མཐའ་བྲལ་	མཐའ་བྲལ་	NOUN
སྒྲུབ་པ་	སྒྲུབ་པ་	VERB
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
འི་	གི་	PART
བསྟན་བཅོས་	བསྟན་བཅོས་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
སྟག་ཚང་བ་	སྟག་ཚང་བ་	OTHER
ལོ་ཙཱ་བ་	ལོ་ཙཱ་བ་	NOUN
ཤེས་རབ་	ཤེས་རབ་	NOUN
རིན་ཆེན་	རིན་ཆེན་	OTHER
།		PUNCT
བྲིས་མ་	བྲིས་མ་	NO_POS
དབུ་ཅན་	དབུ་ཅན་	NO_POS
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
		
ཐེག་པ་	ཐེག་པ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
དབུ་མ་	དབུ་མ་	PROPN
རྣམ་པ་	རྣམ་པ་	NOUN
ངེས་པ་	ངེས་པ་	VERB
འི་	གི་	PART
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
བང་མཛོད་	བང་མཛོད་	NOUN
ལུང་རིགས་	ལུང་རིགས་	NOUN
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
ལེའུ་	ལེའུ་	NOUN
དང་པོ་	དང་པོ་	ADJ
ན་	ནས་	PART
ལེའུ་	ལེའུ་	NOUN
བཅུ་གཉིས་	བཅུ་གཉིས་	NO_POS
བཞུགས་	བཞུགས་	VERB
།		PUNCT
ཤཱཀྱ་	ཤཱཀྱ་	PROPN
མཆོག་ལྡན་	མཆོག་ལྡན་	OTHER
དྲི་མེད་	དྲི་མེད་	ADJ
ལེགས་པ་	ལེགས་པ་	VERB
འི་	གི་	PART
བློ་གྲོས་	བློ་གྲོས་	NOUN
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
		
སྔགས་	སྔགས་	NOUN
ཀྱི་	གི་	PART
ཀློག་	ཀློག་	VERB
ཐབས་	ཐབས་	NOUN
གསལ་བ་	གསལ་བ་	VERB
ར་	ལ་	PART
བཀོད་པ་	བཀོད་པ་	VERB
དོན་	དོན་	NOUN
བཟང་	བཟང་	VERB
བཅུད་	བཅུད་	NOUN
ཀྱིས་	གིས་	PART
གཏམས་པ་	གཏམས་པ་	NO_POS
འི་	གི་	PART
ཀེ་ལ་ཤ་	ཀེ་ལ་ཤ་	NO_POS
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
བཞུགས་	བཞུགས་	VERB
།		PUNCT
སྣ་	སྣ་	NOUN
ར་	ལ་	PART
ཐང་	ཐང་	NOUN
སམྒྷ་		NON_WORD
ཤྲི་		NON_WORD
།		PUNCT
བྲིས་མ་	བྲིས་མ་	NO_POS
དབུ་ཅན་	དབུ་ཅན་	NO_POS
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
ཁ་	ཁ་	PRON
		
		
འཁོར་ལོ་	འཁོར་ལོ་	NOUN
སྡོམ་པ་	སྡོམ་པ་	NOUN
འི་	གི་	PART
ནག་པོ་	ནག་པོ་	ADJ
ཞབས་	ཞབས་	NOUN
ལུགས་	ལུགས་	NOUN
ཀྱི་	གི་	PART
སྒྲུབ་ཐབས་	སྒྲུབ་ཐབས་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
ཇོ་	ཇོ་	NO_POS
ནང་	ནང་	NOUN
ཀུན་དགའ་	ཀུན་དགའ་	PROPN
གྲོལ་	གྲོལ་	VERB
མཆོག་	མཆོག་	ADJ
བྲིས་མ་	བྲིས་མ་	NO_POS
དབུ་ཅན་	དབུ་ཅན་	NO_POS
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
ཁ་	ཁ་	PRON
		
		
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
མ་	མ་	PART
སྒྲུབ་	སྒྲུབ་	VERB
ཅིང་	ཅིང་	PART
མཆོད་པ་	མཆོད་པ་	VERB
འི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
ངག་འདོན་	ངག་འདོན་	OTHER
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
ཇོ་	ཇོ་	NO_POS
ནང་	ནང་	NOUN
ཏཱ་ར་	ཏཱ་ར་	PROPN
ནཱ་	ནཱ་	NO_POS
ཐ་	ཐ་	NOUN
།		PUNCT
བྲིས་མ་	བྲིས་མ་	NO_POS
དབུ་ཅན་	དབུ་ཅན་	NO_POS
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
ཁ་	ཁ་	PRON
		
		
མཁའ་འགྲོ་	མཁའ་འགྲོ་	NOUN
སྤྱི་གཏོར་	སྤྱི་གཏོར་	NO_POS
རྒྱས་པ་	རྒྱས་པ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
ཇོ་	ཇོ་	NO_POS
ནང་	ནང་	NOUN
ཏཱ་ར་	ཏཱ་ར་	PROPN
ནཱ་	ནཱ་	NO_POS
ཐ་	ཐ་	NOUN
།		PUNCT
བྲིས་མ་	བྲིས་མ་	NO_POS
དབུ་ཅན་	དབུ་ཅན་	NO_POS
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
ཁ་	ཁ་	PRON
		
		
རྗེ་བཙུན་	རྗེ་བཙུན་	NOUN
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
མ་	མ་	PART
བདེན་	བདེན་	VERB
གཉིས་	གཉིས་	NUM
ཞལ་	ཞལ་	NOUN
ཅན་	ཅན་	PART
སྒྲུབ་	སྒྲུབ་	VERB
ཅིང་	ཅིང་	PART
མཆོད་པ་	མཆོད་པ་	VERB
འི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
བདེ་བ་	བདེ་བ་	VERB
ཆེན་པོ་	ཆེན་པོ་	ADJ
འི་	གི་	PART
དཔལ་འབར་བ་	དཔལ་འབར་བ་	PROPN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
ཇོ་	ཇོ་	NO_POS
ནང་	ནང་	NOUN
ཏཱ་ར་	ཏཱ་ར་	PROPN
ན་	ལ་	PART
ཐཱ་		NON_WORD
།		PUNCT
བྲིས་མ་	བྲིས་མ་	NO_POS
དབུ་ཅན་	དབུ་ཅན་	NO_POS
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
ཁ་	ཁ་	PRON
		
		
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
མ་	མ་	PART
བསྙེན་	བསྙེན་	VERB
ཐབས་	ཐབས་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
ཇོ་	ཇོ་	NO_POS
ནང་	ནང་	NOUN
ཏཱ་ར་	ཏཱ་ར་	PROPN
ན་	ལ་	PART
ཐཱ་		NON_WORD
།		PUNCT
བྲིས་མ་	བྲིས་མ་	NO_POS
དབུ་ཅན་	དབུ་ཅན་	NO_POS
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
ཁ་	ཁ་	PRON
		
		
རྗེ་བཙུན་	རྗེ་བཙུན་	NOUN
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
མ་	མ་	PART
འི་	གི་	PART
སྲོག་	སྲོག་	NOUN
བླུགས་	བླུགས་	VERB
ཀྱི་	གི་	PART
ལག་ལེན་	ལག་ལེན་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
ཇོ་	ཇོ་	NO_POS
ནང་	ནང་	NOUN
ཏཱ་ར་	ཏཱ་ར་	PROPN
ན་	ལ་	PART
ཐཱ་		NON_WORD
།		PUNCT
བྲིས་མ་	བྲིས་མ་	NO_POS
དབུ་ཅན་	དབུ་ཅན་	NO_POS
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
		
དཔལ་	དཔལ་	OTHER
གསང་བ་	གསང་བ་	VERB
འདུས་པ་	འདུས་པ་	VERB
འི་	གི་	PART
བཤད་	བཤད་	VERB
ཐབས་	ཐབས་	NOUN
ཀྱི་	གི་	PART
ཡན་ལག་	ཡན་ལག་	NOUN
གསང་བ་	གསང་བ་	VERB
འི་	གི་	PART
སྒོ་	སྒོ་	NOUN
འབྱེད་	འབྱེད་	VERB
ཅེས་བྱ་བ་	ཅེས་བྱ་བ་	NO_POS
།		PUNCT
བུ་	བུ་	NOUN
སྟོན་	སྟོན་	VERB
རིན་ཆེན་	རིན་ཆེན་	OTHER
གྲུབ་	གྲུབ་	VERB
།		PUNCT
བྲིས་མ་	བྲིས་མ་	NO_POS
དབུ་ཅན་	དབུ་ཅན་	NO_POS
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
		
བླ་མ་	བླ་མ་	NOUN
འི་	གི་	PART
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
གྱི་	གི་	PART
དོན་འགྲེལ་	དོན་འགྲེལ་	OTHER
བཞུགས་	བཞུགས་	VERB
།		PUNCT
དགེ་སློང་	དགེ་སློང་	NOUN
ཀུན་དག་	ཀུན་དགའ་	PROPN
འི་	གི་	PART
མིང་ཅན་	མིང་ཅན་	NOUN
།		PUNCT
བྲིས་མ་	བྲིས་མ་	NO_POS
དབུ་ཅན་	དབུ་ཅན་	NO_POS
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
ཐ་	ཐ་	NOUN
		
		
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
ཕུར་བུ་	ཕུར་བུ་	PROPN
དངོས་གྲུབ་	དངོས་གྲུབ་	NOUN
ཆ་	ཆ་	NOUN
ར་	ལ་	PART
འབེབས་	འབེབས་	VERB
ཀྱི་	གི་	PART
འཆམས་	འཆམས་	NO_POS
ཀྱི་	གི་	PART
བརྗོད་	བརྗོད་	VERB
བྱང་	བྱང་	NOUN
སྣང་བ་	སྣང་བ་	VERB
འགྱུར་	འགྱུར་	VERB
ཐུབ་	ཐུབ་	VERB
འཛིན་བྱེད་	འཛིན་བྱེད་	OTHER
།		PUNCT
ས་སྐྱ་པ་	ས་སྐྱ་པ་	PROPN
སྔགས་འཆང་	སྔགས་འཆང་	NOUN
ངག་དབང་	ངག་དབང་	PROPN
ཀུན་དགའ་	ཀུན་དགའ་	PROPN
རིན་ཆེན་	རིན་ཆེན་	OTHER
།		PUNCT
བྲིས་མ་	བྲིས་མ་	NO_POS
དབུ་ཅན་	དབུ་ཅན་	NO_POS
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
		
ལུང་སྟོན་པ་	ལུང་སྟོན་པ་	NOUN
ཀ་ལཱ་པ་	ཀ་ལཱ་པ་	PROPN
འི་	གི་	PART
བྱིངས་	བྱིངས་	NOUN
ཀྱི་	གི་	PART
ཚོགས་	ཚོགས་	NOUN
བཞུགས་	བཞུགས་	VERB
།		PUNCT
བུ་	བུ་	NOUN
སྟོན་	སྟོན་	VERB
རིན་ཆེན་	རིན་ཆེན་	OTHER
གྲུབ་	གྲུབ་	VERB
།		PUNCT
བྲིས་མ་	བྲིས་མ་	NO_POS
དབུ་ཅན་	དབུ་ཅན་	NO_POS
།		PUNCT
		
ནང་	ནང་	NOUN
		
		
གསུང་	གསུང་	VERB
ངག་ལམ་	ངག་ལམ་	NO_POS
གྱི་	གི་	PART
རིམ་པ་	རིམ་པ་	NOUN
འི་	གི་	PART
སྨོན་ལམ་	སྨོན་ལམ་	NOUN
དངོས་གྲུབ་	དངོས་གྲུབ་	NOUN
ཉིན་བྱེད་	ཉིན་བྱེད་	NOUN
འདྲེན་པ་	འདྲེན་པ་	VERB
འི་	གི་	PART
ཤིང་རྟ་	ཤིང་རྟ་	NOUN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
།		PUNCT
བྲིས་མ་	བྲིས་མ་	NO_POS
དབུ་ཅན་	དབུ་ཅན་	NO_POS
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
ཀ་	ཀ་	DET
		
		
བླ་མ་	བླ་མ་	NOUN
བསྟེན་	བསྟེན་	VERB
ཚུལ་	ཚུལ་	NOUN
ལྔ་	ལྔ་	NUM
བཅུ་པ་	བཅུ་པ་	NUM
ར་	ལ་	PART
ཚིག་	ཚིག་	NOUN
སྣོན་	སྣོན་	NO_POS
དང་	དང་	NO_POS
མཆན་འགྲེལ་	མཆན་འགྲེལ་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
སྤང་	སྤང་	VERB
ལུང་	ལུང་	NOUN
བློ་བཟང་	བློ་བཟང་	PROPN
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
།		PUNCT
བྲིས་མ་	བྲིས་མ་	NO_POS
དབུ་ཅན་	དབུ་ཅན་	NO_POS
།		PUNCT
		
		
		
༑		PUNCT
		
ནང་	ནང་	NOUN
		
		
ཧེ་རུ་ཀ་	ཧེ་རུ་ཀ་	NOUN
འི་	གི་	PART
ཆ་	ཆ་	NOUN
ས་	གིས་	PART
དྲུག་	དྲུག་	NUM
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
ས་སྐྱ་	ས་སྐྱ་	PROPN
དགེ་བསྙེན་	དགེ་བསྙེན་	NOUN
གྲགས་པ་	གྲགས་པ་	VERB
རྒྱལ་མཚན་	རྒྱལ་མཚན་	NOUN
།		PUNCT
བྲིས་མ་	བྲིས་མ་	NO_POS
དབུ་ཅན་	དབུ་ཅན་	NO_POS
།		PUNCT
		
༑		PUNCT
		
		
		
༑		PUNCT
		
ནང་	ནང་	NOUN
		
		
དཔལ་	དཔལ་	OTHER
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འཇིགས་བྱེད་	འཇིགས་བྱེད་	OTHER
ཀྱི་	གི་	PART
དཀྱིལ་འཁོར་	དཀྱིལ་འཁོར་	NOUN
གྱི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
དང་	དང་	NO_POS
ཨརྒའི་		NON_WORD
ཆོ་ག་	ཆོ་ག་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
གོ་བོ་	གོ་བོ་	OTHER
རབ་འབྱམས་པ་	རབ་འབྱམས་པ་	ADJ
བསོད་ནམས་	བསོད་ནམས་	NOUN
སེང་གེ་	སེང་གེ་	NOUN
བྲིས་མ་	བྲིས་མ་	NO_POS
དབུ་ཅན་	དབུ་ཅན་	NO_POS
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
ཕ་	ཕ་	NOUN
		
		
བུ་	བུ་	NOUN
སྟོན་	སྟོན་	VERB
ཐམས་ཅད་	ཐམས་ཅད་	DET
མཁྱེན་པ་	མཁྱེན་པ་	VERB
འི་	གི་	PART
བཀའ་འབུམ་	བཀའ་འབུམ་	NOUN
ཁ་པ་	ཁ་པ་	OTHER
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
བུ་	བུ་	NOUN
སྟོན་	སྟོན་	VERB
རིན་ཆེན་	རིན་ཆེན་	OTHER
གྲུབ་	གྲུབ་	VERB
།		PUNCT
བྲིས་མ་	བྲིས་མ་	NO_POS
དབུ་ཅན་	དབུ་ཅན་	NO_POS
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
		
འདུལ་བ་	འདུལ་བ་	VERB
འི་	གི་	PART
ལག་ལེན་	ལག་ལེན་	NOUN
གྱི་	གི་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
དྲི་མ་	དྲི་མ་	NOUN
མེད་པ་	མེད་པ་	VERB
འི་	གི་	PART
ཕྲེང་བ་	ཕྲེང་བ་	NOUN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
བུ་	བུ་	NOUN
སྟོན་	སྟོན་	VERB
གྱིས་	གིས་	PART
མཛད་པ་	མཛད་པ་	VERB
བཞུགས་	བཞུགས་	VERB
།		PUNCT
བུ་	བུ་	NOUN
སྟོན་	སྟོན་	VERB
རིན་ཆེན་	རིན་ཆེན་	OTHER
གྲུབ་	གྲུབ་	VERB
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
		
		
༑		PUNCT
		
ནང་	ནང་	NOUN
		
		
གཤེད་	གཤེད་	NOUN
དམར་	དམར་	VERB
ལྷ་	ལྷ་	NOUN
ལྔ་	ལྔ་	NUM
འི་	གི་	PART
སྦྱིན་སྲེག་	སྦྱིན་སྲེག་	NOUN
བཞུགས་	བཞུགས་	VERB
།		PUNCT
ས་བཟང་	ས་བཟང་	OTHER
མ་ཏི་	མ་ཏི་	PROPN
པཎ་ཆེན་	པཎ་ཆེན་	NOUN
།		PUNCT
དཔེ་	དཔེ་	NOUN
ཚུགས་	ཚུགས་	VERB
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
ལ་	ལ་	PART
		
		
བཀའ་	བཀའ་	NOUN
གདམས་	གདམས་	NOUN
མན་ངག་	མན་ངག་	NOUN
ལྷ་ཆོས་	ལྷ་ཆོས་	NOUN
ཀྱི་	གི་	PART
ཐིག་ལེ་	ཐིག་ལེ་	NOUN
འི་	གི་	PART
ཉམས་ལེན་	ཉམས་ལེན་	NOUN
བཞུགས་	བཞུགས་	VERB
།		PUNCT
སྣ་	སྣ་	NOUN
ར་	ལ་	PART
ཐང་	ཐང་	NOUN
བསྟན་པ་	བསྟན་པ་	VERB
རིན་པོ་ཆེ་	རིན་པོ་ཆེ་	ADJ
ནམ་མཁ་	ནམ་མཁའ་	NOUN
ས་	གིས་	PART
བཀོད་པ་	བཀོད་པ་	VERB
འོ་	གོ་	PART
།		PUNCT
དཔེ་	དཔེ་	NOUN
ཚུགས་	ཚུགས་	VERB
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
		
རྗེ་	རྗེ་	NO_POS
བླ་མ་	བླ་མ་	NOUN
དབང་ཕྱུག་	དབང་ཕྱུག་	NOUN
རབ་	རབ་	ADV
བརྟན་	བརྟན་	VERB
ལ་	ལ་	PART
བསྟོད་	བསྟོད་	VERB
ཅིང་	ཅིང་	PART
གསོལ་བ་	གསོལ་བ་	VERB
འདེབས་པ་	འདེབས་པ་	VERB
བྱིན་རླབས་	བྱིན་རླབས་	NOUN
མྱུར་	མྱུར་	VERB
འཇུག་	འཇུག་	VERB
གི་	གི་	PART
ཕོ་ཉ་	ཕོ་ཉ་	NOUN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
།		PUNCT
དགེ་སློང་	དགེ་སློང་	NOUN
ངག་དབང་	ངག་དབང་	PROPN
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
གྲགས་པ་	གྲགས་པ་	VERB
།		PUNCT
དཔེ་	དཔེ་	NOUN
ཚུགས་	ཚུགས་	VERB
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
		
ཟབ་	ཟབ་	VERB
ལམ་	གམ་	PART
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འི་	གི་	PART
རྣལ་འབྱོར་	རྣལ་འབྱོར་	NOUN
གྱི་	གི་	PART
ཁྲིད་ཡིག་	ཁྲིད་ཡིག་	NOUN
མཐོང་བ་	མཐོང་བ་	VERB
དོན་ལྡན་	དོན་ལྡན་	ADJ
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
ཀུན་དགའ་	ཀུན་དགའ་	PROPN
སྙིང་པོ་	སྙིང་པོ་	NOUN
།		PUNCT
དཔེ་	དཔེ་	NOUN
ཚུགས་	ཚུགས་	VERB
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
		
སེམས་བསྐྱེད་	སེམས་བསྐྱེད་	NOUN
ཆེན་	ཆེན་	NO_POS
མོ་	གོ་	PART
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
ས་པཎ་	ས་པཎ་	OTHER
ཀུན་དགའ་	ཀུན་དགའ་	PROPN
རྒྱལ་མཚན་	རྒྱལ་མཚན་	NOUN
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
		
		
༑		PUNCT
		
ནང་	ནང་	NOUN
ལ་	ལ་	PART
		
		
ཞལ་གདམས་	ཞལ་གདམས་	NOUN
དྲི་ལན་	དྲི་ལན་	OTHER
དང་	དང་	NO_POS
བཅས་པ་	བཅས་པ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
ཤིང་	ཅིང་	PART
དཔའ་		
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
ལ་	ལ་	PART
		
		
ཕྱག་རྒྱ་	ཕྱག་རྒྱ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
ལྷན་ཅིག་	ལྷན་ཅིག་	OTHER
སྐྱེ་	སྐྱེ་	VERB
སྦྱོར་	སྦྱོར་	VERB
གྱི་	གི་	PART
ཁྲིད་	ཁྲིད་	VERB
ཀྱི་	གི་	PART
ཟིན་བྲིས་	ཟིན་བྲིས་	OTHER
བསྡུས་དོན་	བསྡུས་དོན་	NOUN
སྙིང་པོ་	སྙིང་པོ་	NOUN
དྲིལ་བ་	དྲིལ་བ་	VERB
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
དགེ་སློང་	དགེ་སློང་	NOUN
གྲུབ་མཆོག་	གྲུབ་མཆོག་	PROPN
དབང་པོ་	དབང་པོ་	NOUN
ས་	གིས་	PART
མཛད་	མཛད་	VERB
།		PUNCT
དཔེ་	དཔེ་	NOUN
ཚུགས་	ཚུགས་	VERB
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
		
ཕྱག་རྒྱ་	ཕྱག་རྒྱ་	NOUN
ཆེན་པོ་	ཆེན་པོ་	ADJ
ཡི་གེ་	ཡི་གེ་	NOUN
བཞི་པ་	བཞི་པ་	ADJ
འི་	གི་	PART
རྩ་ཚིག་	རྩ་ཚིག་	OTHER
ཟིན་བྲིས་	ཟིན་བྲིས་	OTHER
ཡིད་བཞིན་	ཡིད་བཞིན་	OTHER
ནོར་བུ་	ནོར་བུ་	NOUN
མཐོང་བ་	མཐོང་བ་	VERB
དོན་ལྡན་	དོན་ལྡན་	ADJ
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
དཔེ་	དཔེ་	NOUN
ཚུགས་	ཚུགས་	VERB
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
ལ་	ལ་	PART
		
		
སྙན་ངག་	སྙན་ངག་	NOUN
སྒྲ་རྒྱན་	སྒྲ་རྒྱན་	NO_POS
དང་	དང་	NO_POS
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
དགའ་སྟོན་	དགའ་སྟོན་	NOUN
ལྷན་ཅིག་	ལྷན་ཅིག་	OTHER
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
བཟང་ལྡན་	བཟང་ལྡན་	PROPN
ཆོས་གྲགས་	ཆོས་གྲགས་	PROPN
ཀྱིས་	གིས་	PART
མཛད་	མཛད་	VERB
།		PUNCT
དཔེ་	དཔེ་	NOUN
ཚུགས་	ཚུགས་	VERB
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
		
དཔལ་	དཔལ་	OTHER
འཕགས་པ་	འཕགས་པ་	VERB
ཀླུ་སྒྲུབ་	ཀླུ་སྒྲུབ་	PROPN
ཞབས་	ཞབས་	NOUN
ཀྱི་	གི་	PART
ཐུན་མོང་	ཐུན་མོང་	ADJ
མ་ཡིན་པ་	མ་ཡིན་པ་	OTHER
འི་	གི་	PART
ལེགས་བཤད་	ལེགས་བཤད་	NOUN
གསང་གཏམ་	གསང་གཏམ་	OTHER
སྙན་པ་	སྙན་པ་	VERB
འི་	གི་	PART
སྒྲ་	སྒྲ་	NOUN
སྒྲོགས་	སྒྲོགས་	VERB
བཞུགས་	བཞུགས་	VERB
།		PUNCT
ཡིད་འོང་	ཡིད་འོང་	ADJ
མཛེས་མ་	མཛེས་མ་	ADJ
འི་	གི་	PART
ཕོ་ཉ་	ཕོ་ཉ་	NOUN
ཅེས་	ཅེས་	PART
ཀྱང་	ཀྱང་	PART
བྱ་	བྱ་	VERB
འོ་	གོ་	PART
།		PUNCT
མང་ཐོས་	མང་ཐོས་	NOUN
ཀླུ་སྒྲུབ་	ཀླུ་སྒྲུབ་	PROPN
རྒྱ་མཚོ་	རྒྱ་མཚོ་	NOUN
།		PUNCT
བྲིས་མ་	བྲིས་མ་	NO_POS
དབུ་ཅན་	དབུ་ཅན་	NO_POS
།		PUNCT
		
༑		PUNCT
		
		
		
༑		PUNCT
		
ནང་	ནང་	NOUN
		
		
ཚེ་སྒྲུབ་	ཚེ་སྒྲུབ་	NOUN
ཞལ་ཤེས་	ཞལ་ཤེས་	NO_POS
བཞུགས་	བཞུགས་	VERB
།		PUNCT
མཁྱེན་བརྩེ་	མཁྱེན་བརྩེ་	PROPN
འི་	གི་	PART
དབང་པོ་	དབང་པོ་	NOUN
།		PUNCT
དཔེ་	དཔེ་	NOUN
ཚུགས་	ཚུགས་	VERB
།		PUNCT
		
		
		
ནང་	ནང་	NOUN
		
		
ཚེ་	ཚེ་	NOUN
དཔག་མེད་	དཔག་མེད་	ADJ
གྲུབ་	གྲུབ་	VERB
རྒྱལ་	རྒྱལ་	VERB
ལུགས་	ལུགས་	NOUN
ཀྱི་	གི་	PART
བསྐྱེད་རྫོགས་	བསྐྱེད་རྫོགས་	NOUN
ཀྱི་	གི་	PART
ཉམས་ལེན་	ཉམས་ལེན་	NOUN
མདོར་བསྡུས་པ་	མདོར་བསྡུས་པ་	OTHER
འཆི་	འཆི་	VERB
།		PUNCT
བྱ་བྲལ་བ་	བྱ་བྲལ་བ་	PROPN
འཇམ་དབྱངས་	འཇམ་དབྱངས་	PROPN
